Player Id,Player Name,2022/2023,2023/2024,2024/2025,2024/2025.1,pca_1
221,Obi Toppin,"$5,348,280 ","$6,803,012 ","$9,170,460 ",$0 ,-0.39607233138478026
222,Franz Wagner,"$5,258,280 ","$5,508,720 ","$7,007,092 ","$9,445,560 ",-0.38999080988530554
223,Kendrick Nunn,"$5,250,000 ",$0 ,$0 ,$0 ,-0.3839092883858308
224,Hamidou Diallo,"$5,200,000 ",$0 ,$0 ,$0 ,-0.3778277668863561
225,Cory Joseph,"$5,155,500 ",$0 ,$0 ,$0 ,-0.3717462453868814
225,Garrett Temple,"$5,155,500 ","$5,401,000 ",$0 ,$0 ,-0.3717462453868814
227,Torrey Craig,"$5,121,951 ",$0 ,$0 ,$0 ,-0.3595832023879319
228,Jeremy Sochan,"$5,063,520 ","$5,316,960 ","$5,570,040 ","$7,096,231 ",-0.3535016808884572
229,David Nwaba,"$5,022,000 ","$5,394,000 ",$0 ,$0 ,-0.34742015938898246
230,Nickeil Alexander-Walker,"$5,009,633 ","$7,073,602 ",$0 ,$0 ,-0.3413386378895077
231,Furkan Korkmaz,"$5,000,000 ","$5,370,370 ",$0 ,$0 ,-0.33525711639003297
232,Deni Avdija,"$4,916,160 ","$6,263,188 ","$8,486,619 ",$0 ,-0.32917559489055825
233,Davion Mitchell,"$4,833,600 ","$5,063,640 ","$6,451,077 ","$8,741,210 ",-0.32309407339108354
234,Johnny Davis,"$4,810,320 ","$5,050,800 ","$5,291,160 ","$6,746,229 ",-0.31701255189160876
235,Ty Jerome,"$4,728,948 ","$1,761,752 ",$0 ,$0 ,-0.31093103039213404
236,Ishmael Smith,"$4,725,000 ",$0 ,$0 ,$0 ,-0.3048495088926593
237,Jalen Smith,"$4,670,160 ","$5,043,773 ","$5,417,386 ",$0 ,-0.2987679873931846
238,Ziaire Williams,"$4,591,680 ","$4,810,200 ","$6,133,005 ","$8,353,152 ",-0.29268646589370984
239,Ousmane Dieng,"$4,569,840 ","$4,798,440 ","$5,027,040 ","$6,670,882 ",-0.2866049443942351
240,Moe Harkless,"$4,564,980 ",$0 ,$0 ,$0 ,-0.2805234228947604
241,Donte DiVincenzo,"$4,500,000 ","$4,725,000 ",$0 ,$0 ,-0.2744419013952857
241,Jeff Green,"$4,500,000 ",$0 ,$0 ,$0 ,-0.2744419013952857
243,Devin Vassell,"$4,437,000 ","$5,887,899 ","$8,060,534 ",$0 ,-0.2622788583963362
244,Matisse Thybulle,"$4,379,526 ","$6,275,861 ",$0 ,$0 ,-0.25619733689686147
245,Jarred Vanderbilt,"$4,374,000 ","$4,698,000 ",$0 ,$0 ,-0.25011581539738675
246,James Bouknight,"$4,362,240 ","$4,570,080 ","$6,064,496 ","$8,302,295 ",-0.244034293897912
247,Brandon Clarke,"$4,343,919 ","$12,500,000 ","$12,500,000 ","$12,500,000 ",-0.2379527723984373
248,Jalen Williams,"$4,341,480 ","$4,558,680 ","$4,775,760 ","$6,580,997 ",-0.23187125089896254
249,Grant Williams,"$4,306,281 ","$6,235,494 ",$0 ,$0 ,-0.22578972939948783
250,Darius Bazley,"$4,264,628 ","$6,205,035 ",$0 ,$0 ,-0.21970820790001308
