Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Rk_x_Age,Rk_x_G,Rk_x_GS,Rk_x_MP,Age_x_G,Age_x_GS,Age_x_MP,G_x_GS,G_x_MP,pca_1,pca_2,pca_3,pca_4,pca_5
211.0,Grant Williams,PF,24.0,BOS,15.0,0.0,17.7,1.7,3.5,0.472,1.2,2.7,0.45,0.5,0.9,0.538,0.642,0.5,0.7,0.8,0.7,1.5,2.2,1.2,0.3,0.4,0.3,1.7,5.1,5064.0,3165.0,0.0,3734.7,360.0,0.0,424.79999999999995,0.0,265.5,,,,,
213.0,Ziaire Williams,SF,21.0,MEM,4.0,0.0,3.0,0.5,1.8,0.286,0.3,0.8,0.333,0.3,1.0,0.25,0.357,0.0,0.0,0.0,0.0,0.5,0.5,0.5,0.0,0.0,0.5,0.3,1.3,4473.0,852.0,0.0,639.0,84.0,0.0,63.0,0.0,12.0,,,,,
215.0,Omer Yurtseven,C,24.0,MIA,8.0,0.0,2.0,0.3,0.9,0.286,0.0,0.3,0.0,0.3,0.6,0.4,0.286,0.0,0.0,0.0,0.4,0.3,0.6,0.1,0.0,0.1,0.1,0.3,0.5,5160.0,1720.0,0.0,430.0,192.0,0.0,48.0,0.0,16.0,,,,,
216.0,Cody Zeller,C,30.0,MIA,21.0,0.0,8.3,1.0,1.7,0.571,0.0,0.0,0.0,1.0,1.7,0.571,0.571,0.3,0.7,0.4,0.5,1.8,2.3,0.3,0.1,0.2,0.6,1.3,2.2,6480.0,4536.0,0.0,1792.8000000000002,630.0,0.0,249.00000000000003,0.0,174.3,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.1026320222282822,-3.067029224030565,-0.5686807373786721,-1.7794288751115759,1.0546706632244858
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.034893039763893,-3.2598376616278104,-0.4772968821968131,-1.1086544862517136,-0.7285053710001852
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.39840100112441174,-1.0144859518686142,2.969718873366823,-3.045853027195753,-0.12293580680023468
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.335717053303496,-2.8230548122602213,2.7101719080764117,-1.8822721639834659,-1.5511714220326858
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.141322416796871,-1.7652298163229938,-3.4121220422294,-1.4798883485395695,-2.0188781003309253
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.642310658919891,-2.700008430119798,4.436962287776727,-1.7598193859867801,-1.83769492382984
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2.8899061336863867,-0.9658841318163461,0.12256885524204103,-2.6239200122138033,-0.5968248072192608
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-3.7242276992249805,-1.2262860390541859,-2.256484081259973,-1.6238258444280518,-1.0681051943370434
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-4.1581916012106905,-1.39907065982448,0.7581439379787512,-1.9251889751123406,0.5967095002923772
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.300214316105934,-3.065300169003453,-0.6568557549972386,0.2392975580335193,3.347056306396138
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.7027793562486098,1.2770215609216469,0.06479710819144228,-3.1691520072331336,2.0890269616677
