Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Rk_x_Age,Rk_x_G,Rk_x_GS,Rk_x_MP,Age_x_G,Age_x_GS,Age_x_MP,G_x_GS,G_x_MP,pca_1,pca_2,pca_3,pca_4,pca_5
345.0,Patty Mills,PG,35.0,MIA,13.0,5.0,16.4,2.1,6.2,0.338,0.8,4.1,0.208,1.2,2.1,0.593,0.406,0.8,0.8,1.0,0.3,0.8,1.2,1.5,0.8,0.0,0.6,1.2,5.8,12075.0,4485.0,1725.0,5657.999999999999,455.0,175.0,574.0,65.0,213.2,,,,,
346.0,Shake Milton,SG,27.0,TOT,48.0,0.0,12.1,1.6,4.1,0.405,0.4,1.3,0.281,1.3,2.7,0.466,0.451,0.8,1.0,0.816,0.3,1.3,1.6,1.3,0.4,0.1,0.6,1.1,4.5,9342.0,16608.0,0.0,4186.599999999999,1296.0,0.0,326.7,0.0,580.8,,,,,
346.0,Shake Milton,SG,27.0,MIN,38.0,0.0,12.9,1.7,4.2,0.4,0.4,1.4,0.264,1.3,2.8,0.467,0.444,0.9,1.2,0.818,0.2,1.2,1.3,1.3,0.4,0.1,0.7,1.2,4.7,9342.0,13148.0,0.0,4463.400000000001,1026.0,0.0,348.3,0.0,490.2,,,,,
346.0,Shake Milton,SG,27.0,DET,4.0,0.0,15.8,2.8,6.5,0.423,0.8,2.3,0.333,2.0,4.3,0.471,0.481,0.5,0.8,0.667,1.8,2.8,4.5,1.5,0.5,0.3,0.8,0.8,6.8,9342.0,1384.0,0.0,5466.8,108.0,0.0,426.6,0.0,63.2,,,,,
346.0,Shake Milton,SG,27.0,NYK,6.0,0.0,4.5,0.7,1.5,0.444,0.2,0.3,0.5,0.5,1.2,0.429,0.5,0.3,0.3,1.0,0.0,1.0,1.0,0.7,0.2,0.0,0.0,1.2,1.8,9342.0,2076.0,0.0,1557.0,162.0,0.0,121.5,0.0,27.0,,,,,
347.0,Justin Minaya,SF,24.0,POR,34.0,1.0,11.2,0.6,2.2,0.297,0.4,1.4,0.245,0.3,0.7,0.4,0.378,0.1,0.3,0.556,0.9,0.8,1.6,0.6,0.3,0.3,0.3,1.0,1.8,8328.0,11798.0,347.0,3886.3999999999996,816.0,24.0,268.79999999999995,34.0,380.79999999999995,,,,,
348.0,Josh Minott,SF,21.0,MIN,32.0,0.0,2.8,0.5,1.1,0.472,0.1,0.3,0.4,0.4,0.8,0.5,0.528,0.4,0.4,0.857,0.1,0.4,0.5,0.3,0.2,0.2,0.1,0.3,1.6,7308.0,11136.0,0.0,974.4,672.0,0.0,58.8,0.0,89.6,,,,,
349.0,Davion Mitchell,PG,25.0,SAC,72.0,4.0,15.3,2.0,4.5,0.452,0.8,2.2,0.361,1.2,2.3,0.539,0.54,0.4,0.6,0.714,0.3,1.1,1.3,1.9,0.2,0.0,0.6,1.2,5.3,8725.0,25128.0,1396.0,5339.7,1800.0,100.0,382.5,288.0,1101.6000000000001,,,,,
354.0,Moses Moody,SG,21.0,GSW,66.0,9.0,17.5,2.9,6.4,0.462,1.1,3.0,0.36,1.8,3.3,0.555,0.548,1.1,1.4,0.785,1.0,2.0,3.0,0.9,0.6,0.4,0.7,1.4,8.1,7434.0,23364.0,3186.0,6195.0,1386.0,189.0,367.5,594.0,1155.0,,,,,
355.0,Xavier Moon,SG,29.0,LAC,14.0,1.0,8.5,1.1,3.3,0.326,0.1,1.2,0.118,0.9,2.1,0.448,0.348,0.1,0.1,0.5,0.6,0.7,1.3,1.5,0.2,0.2,0.4,0.6,2.4,10295.0,4970.0,355.0,3017.5,406.0,29.0,246.5,14.0,119.0,,,,,
