 
G,Date,Start (ET),,,,Opponent,,,Tm,Opp,W,L,Streak,Attend.,LOG,Notes
37,Sat Dec 31 2022,7:00p,,Box Score,@,Houston Rockets,W,,108,88,19,18,W 1,18055,2:13,
38,Mon Jan 2 2023,3:00p,,Box Score,,Phoenix Suns,W,,102,83,20,18,W 2,19812,2:01,
39,Wed Jan 4 2023,7:30p,,Box Score,,San Antonio Spurs,W,,117,114,21,18,W 3,19812,2:20,
40,Fri Jan 6 2023,7:30p,,Box Score,@,Toronto Raptors,W,,112,108,22,18,W 4,19800,2:24,
41,Mon Jan 9 2023,7:30p,,Box Score,,Milwaukee Bucks,L,,107,111,22,19,L 1,18167,2:19,
42,Wed Jan 11 2023,7:30p,,Box Score,,Indiana Pacers,W,,119,113,23,19,W 1,18249,2:16,
43,Fri Jan 13 2023,7:00p,,Box Score,@,Washington Wizards,W,,112,108,24,19,W 2,20476,2:21,
44,Sun Jan 15 2023,1:00p,,Box Score,@,Detroit Pistons,W,,117,104,25,19,W 3,19894,2:12,
45,Mon Jan 16 2023,3:00p,,Box Score,,Toronto Raptors,L,OT,121,123,25,20,L 1,19812,2:39,
46,Wed Jan 18 2023,7:30p,,Box Score,,Washington Wizards,L,,105,116,25,21,L 2,19164,2:13,
47,Fri Jan 20 2023,7:30p,,Box Score,@,Atlanta Hawks,L,,124,139,25,22,L 3,17711,2:03,
48,Sun Jan 22 2023,6:00p,,Box Score,@,Toronto Raptors,L,,116,125,25,23,L 4,19261,2:15,
49,Tue Jan 24 2023,7:30p,,Box Score,,Cleveland Cavaliers,W,,105,103,26,23,W 1,19812,2:13,
50,Thu Jan 26 2023,7:30p,,Box Score,@,Boston Celtics,W,OT,120,117,27,23,W 2,19156,2:25,
51,Sat Jan 28 2023,5:30p,,Box Score,@,Brooklyn Nets,L,,115,122,27,24,L 1,18100,2:13,
52,Tue Jan 31 2023,7:30p,,Box Score,,Los Angeles Lakers,L,OT,123,129,27,25,L 2,19812,2:48,
53,Thu Feb 2 2023,7:30p,,Box Score,,Miami Heat,W,,106,104,28,25,W 1,19044,2:20,
54,Sat Feb 4 2023,7:00p,,Box Score,,Los Angeles Clippers,L,OT,128,134,28,26,L 1,19812,2:42,
55,Sun Feb 5 2023,6:00p,,Box Score,,Philadelphia 76ers,W,,108,97,29,26,W 1,17586,2:38,
56,Tue Feb 7 2023,7:00p,,Box Score,@,Orlando Magic,W,,102,98,30,26,W 2,19438,2:13,
57,Fri Feb 10 2023,7:00p,,Box Score,@,Philadelphia 76ers,L,,108,119,30,27,L 1,21057,2:08,
58,Sat Feb 11 2023,7:30p,,Box Score,,Utah Jazz,W,,126,120,31,27,W 1,19339,2:16,
59,Mon Feb 13 2023,7:30p,,Box Score,,Brooklyn Nets,W,,124,106,32,27,W 2,19812,2:19,
60,Wed Feb 15 2023,7:30p,,Box Score,@,Atlanta Hawks,W,,122,101,33,27,W 3,17771,2:09,
61,Fri Feb 24 2023,7:00p,,Box Score,@,Washington Wizards,W,,115,109,34,27,W 4,20476,2:14,
62,Sat Feb 25 2023,7:30p,,Box Score,,New Orleans Pelicans,W,,128,106,35,27,W 5,19812,2:21,
63,Mon Feb 27 2023,7:30p,,Box Score,,Boston Celtics,W,,109,94,36,27,W 6,19812,2:21,
64,Wed Mar 1 2023,7:30p,,Box Score,,Brooklyn Nets,W,,142,118,37,27,W 7,19812,2:19,
65,Fri Mar 3 2023,8:00p,,Box Score,@,Miami Heat,W,,122,120,38,27,W 8,19600,2:21,
66,Sun Mar 5 2023,7:30p,,Box Score,@,Boston Celtics,W,2OT,131,129,39,27,W 9,19156,2:56,
67,Tue Mar 7 2023,7:30p,,Box Score,,Charlotte Hornets,L,,105,112,39,28,L 1,19812,2:13,
68,Thu Mar 9 2023,10:00p,,Box Score,@,Sacramento Kings,L,,117,122,39,29,L 2,18068,2:33,
69,Sat Mar 11 2023,4:00p,,Box Score,@,Los Angeles Clippers,L,,95,106,39,30,L 3,19068,2:14,
70,Sun Mar 12 2023,9:00p,,Box Score,@,Los Angeles Lakers,W,,112,108,40,30,W 1,18997,2:19,
71,Tue Mar 14 2023,10:00p,,Box Score,@,Portland Trail Blazers,W,,123,107,41,30,W 2,19488,2:09,
72,Sat Mar 18 2023,1:00p,,Box Score,,Denver Nuggets,W,,116,110,42,30,W 3,19812,2:08,
73,Mon Mar 20 2023,7:30p,,Box Score,,Minnesota Timberwolves,L,,134,140,42,31,L 1,19812,2:20,
74,Wed Mar 22 2023,7:30p,,Box Score,@,Miami Heat,L,,120,127,42,32,L 2,19863,2:17,
75,Thu Mar 23 2023,7:00p,,Box Score,@,Orlando Magic,L,,106,111,42,33,L 3,17607,2:14,
76,Mon Mar 27 2023,7:30p,,Box Score,,Houston Rockets,W,,137,115,43,33,W 1,19812,2:10,
77,Wed Mar 29 2023,7:30p,,Box Score,,Miami Heat,W,,101,92,44,33,W 2,19812,2:09,
78,Fri Mar 31 2023,7:30p,,Box Score,@,Cleveland Cavaliers,W,,130,116,45,33,W 3,19432,2:09,
79,Sun Apr 2 2023,6:00p,,Box Score,,Washington Wizards,W,,118,109,46,33,W 4,19812,2:02,
80,Wed Apr 5 2023,7:00p,,Box Score,@,Indiana Pacers,W,,138,129,47,33,W 5,16789,2:15,
81,Fri Apr 7 2023,8:00p,,Box Score,@,New Orleans Pelicans,L,,105,113,47,34,L 1,18656,2:08,
82,Sun Apr 9 2023,1:00p,,Box Score,,Indiana Pacers,L,,136,141,47,35,L 2,19812,2:26,
